iata,name,city,state,latitude,longitude,routes
LEW,Auburn-Lewiston Municipal,Auburn-Lewiston,ME,44.04847278,-70.2835075,0
LEX,Blue Grass,Lexington,KY,38.03697222,-84.60538889,14
LFK,Lufkin-Angelina County,Lufkin,TX,31.23401389,-94.75,0
LFT,Lafayette Regional,Lafayette,LA,30.20527972,-91.987655,3
LGA,LaGuardia,New York,NY,40.77724306,-73.87260917,60
LGB,Long Beach (Daugherty),Long Beach,CA,33.81772222,-118.1516111,21
LGC,LaGrange-Callaway,Lagrange,GA,33.00884694,-85.07260556,0
LGD,La Grande/Union County,La Grande,OR,45.29020944,-118.0071108,0
LGU,Logan-Cache,Logan,UT,41.78773083,-111.85268219999999,0
LHD,Lake Hood SPB,Anchorage,AK,61.18000361,-149.9719322,0
LHM,Lincoln Regional,Lincoln,CA,38.90916111,-121.3513361,0
LHQ,Fairfield County,Lancaster,OH,39.75564722,-82.65711,0
LHV,Wm T Piper Memorial,Lock Haven,PA,41.13618028,-77.42053556,0
LHX,La Junta Muni,La Junta,CO,38.05134111,-103.51069079999999,0
LHZ,Franklin County,Louisburg,NC,36.02334528,-78.33027139,0
LIC,Limon Municipal,Limon,CO,39.272765,-103.6663392,0
LIH,Lihue,Lihue,HI,21.97598306,-159.3389581,10
LIT,Adams,Little Rock,AR,34.72939611,-92.22424556,21
LJF,Litchfield Municipal,Litchfield,MN,45.09712889,-94.50726833,0
LKP,Lake Placid,Lake Placid,NY,44.26447361,-73.96186639,0
LKR,Lancaster County,Lancaster,SC,34.72291667,-80.85458333,0
LKU,Louisa County / Freeman,Louisa,VA,38.00983333,-77.97013889,0
LKV,Lake County,Lakeview,OR,42.16111111,-120.39907029999999,0
LLJ,Challis,Challis,ID,44.52297806,-114.2175642,0
LLQ,Monticello Municipal,Monticello,AR,33.6385525,-91.75101833,0
LLU,Lamar Municipal,Lamar,MO,37.4894925,-94.31150444,0
LMS,Louisville-Winston County,Louisville,MS,33.14620944,-89.06247917,0
LMT,Klamath Falls International,Klamath Falls,OR,42.15614361,-121.7332081,3
LNA,Palm Beach County Park,Lantana,FL,26.593000000000004,-80.08505556,0
LNC,Lancaster,Lancaster,TX,32.57919111,-96.71905111,0
LND,Hunt,Lander,WY,42.81523611,-108.7298392,0
LNK,Lincoln Municipal,Lincoln,NE,40.85097222,-96.75925,8
LNL,Kings Land O' Lakes,Land O' Lakes,WI,46.15387722,-89.21194417,0
LNN,Lost Nation,Willoughby,OH,41.68391667,-81.39030556,0
LNP,Lonesome Pine,Wise,VA,36.98743194,-82.53017361,0
LNS,Lancaster,Lancaster,PA,40.12171528,-76.29609778,0
LNY,Lanai,Lanai City,HI,20.78561111,-156.95141809999998,0
LOL,Derby,Lovelock,NV,40.066404999999996,-118.56516640000001,0
LOT,Lewis University,Chicago/Romeoville,IL,41.60844444,-88.09094444,0
LOU,Bowman,Louisville,KY,38.228,-85.66372222,0
LOZ,London-Corbin  Magee,London,KY,37.08727778,-84.07677778,0
LPC,Lompoc,Lompoc,CA,34.66561028,-120.46678829999999,0
LPR,Lorain Co Regional,Lorain/Elyria,OH,41.34427778,-82.17763889,0
LQK,Pickens County,Pickens,SC,34.80997222,-82.70288889,0
LQR,Larned-Pawnee County,Larned,KS,38.20809667,-99.08607306,0
LRD,Laredo International,Laredo,TX,27.54373861,-99.46154361,2
LRG,Lincoln Regional,Lincoln,ME,45.36216083,-68.53474694,0
LRJ,Le Mars Municipal,Le Mars,IA,42.77801778,-96.19368944,0
LRU,Las Cruces International,Las Cruces,NM,32.28941667,-106.92197220000001,0
LSB,Lordsburg Municipal,Lordsburg,NM,32.33278083,-108.69097420000001,0
LSE,La Crosse Municipal,La Crosse,WI,43.87937972,-91.25653778,2
LSK,Lusk Muni,Lusk,WY,42.75380806,-104.4045536,0
LSN,Los Banos Municipal,Los Banos,CA,37.06290556,-120.8692511,0
LUG,Ellington,Lewisburg,TN,35.506975,-86.80388611,0
LUK,Cincinnati Muni-Lunken,Cincinnati,OH,39.10334417,-84.41861417,0
LUL,Hesler-Noble,Laurel,MS,31.67255139,-89.17222417,0
LUP,Kalaupapa,Kalaupapa,HI,21.21104028,-156.97359719999997,0
LVJ,Clover,Houston,TX,29.52130556,-95.24216667,0
LVK,Livermore Municipal,Livermore,CA,37.69339944,-121.8203519,0
LVM,Mission,Livingston,MT,45.69938889,-110.44830559999998,0
LVN,Airlake,Minneapolis,MN,44.62785361,-93.22810806,0
LVS,Las Vegas Municipal,Las Vegas,NM,35.65422222,-105.1423889,0
LWB,Greenbrier Valley,Lewisburg,WV,37.85830556,-80.39947222,1
LWC,Lawrence Municipal,Lawrence,KS,39.01115222,-95.21657694,0
LWD,Lamoni Municipal,Lamoni,IA,40.63333306,-93.90217028,0
LWL,Wells Municipal/Harriet,Wells,NV,41.11853306,-114.92226609999999,0
LWM,Lawrence Municipal,Lawrence,MA,42.71720944,-71.12343,0
LWS,Lewiston-Nez Perce County,Lewiston,ID,46.37449806,-117.01539440000002,3
LWT,Lewistown Muni,Lewistown,MT,47.04913944,-109.4666006,0
LWV,Lawrenceville-Vincennes Municipal,Lawrenceville,IL,38.76429639,-87.60549556,0
LXL,Little Falls - Morrison County,Little Falls,MN,45.94943778,-94.34708472,0
LXN,Lexington (Jim Kelly),Lexington,NE,40.791,-99.77727778,0
LXT,Lee's Summit Municipal,Lee's Summit,MO,38.95975,-94.37158333,0
LXV,Lake County,Leadville,CO,39.2202675,-106.3166906,0
LXY,Mexia-Limestone County,Mexia,TX,31.63983472,-96.51472222,0
LYH,Lynchburg Municipal-Preston Glenn,Lynchburg,VA,37.32668528,-79.20043056,1
LYO,Lyons-Rice County Municipal,Lyons,KS,38.34261472,-98.22709639,0
LZU,Gwinnett County,Lawrenceville,GA,33.97807611,-83.96237722,0
M01,General Dewitt Spain,Memphis,TN,35.20069278,-90.05397694,0
M02,Dickson Municipal,Dickson,TN,36.12931722,-87.43007056,0
M03,Dennis F Cantrell,Conway,AR,35.08080778,-92.42496167,0
M04,Covington Municipal,Covington,TN,35.583365,-89.58722167,0
M05,Caruthersville Memorial,Caruthersville,MO,36.17506917,-89.67508000000001,0
M08,William L. Whitehurst,Bolivar,TN,35.21445944,-89.04336222,0
M09,Piedmont Municipal,Piedmont,MO,37.12671694,-90.7128975,0
M11,Copiah County,Crystal Springs,MS,31.90293639,-90.36870222,0
M13,Poplarville-Pearl River County,Poplarville,MS,30.78602056,-89.50450694,0
M15,Perry County,Linden,TN,35.59590306,-87.87669361,0
M16,John Bell Williams,Raymond,MS,32.30334111,-90.40848333,0
M17,Bolivar Municipal,Bolivar,MO,37.59693194,-93.34765,0
M18,Hope Municipal,Hope,AR,33.72008889,-93.65884556,0
M19,Newport Municipal,Newport,AR,35.63771778,-91.17637556,0
M21,Muhlenberg County,Greenville,KY,37.22561111,-87.15752778,0
M22,Russellville Municipal,Russellville,AL,34.44953972,-87.71030833,0
M23,James H. Easom,Newton,MS,32.31181111,-89.13589194,0
M24,Dean Griffin Memorial,Wiggins,MS,30.84324389,-89.15977333,0
M25,Mayfield-Graves County,Mayfield,KY,36.76911111,-88.58472222,0
M27,Waldron Municipal,Waldron,AR,34.87509944,-94.10993056,0
M29,Hassel,Clifton,TN,35.38507528,-87.96752833,0
M30,Metropolis Municipal,Metropolis,IL,37.18588722,-88.75061,0
M32,Lake Village Municipal,Lake Village,AR,33.345977500000004,-91.31569833,0
M33,Sumner County Regional,Gallatin,TN,36.37684472,-86.40875861,0
M34,Kentucky Dam State Park,Gilbertsville,KY,37.00950028,-88.29586639,0
M36,Frank Federer Memorial,Brinkley,AR,34.88000194,-91.1764375,0
M37,Ruleville-Drew,Drew,MS,33.77639167,-90.52500833,0
M39,Mena Intermountain Municipal,Mena,AR,34.54539444,-94.20265278,0
M40,Monroe County,Aberdeen-Amory,MS,33.87374861,-88.48967833,0
M41,Holly Springs-Marshall County,Holly Springs,MS,34.80434611,-89.5211075,0
M43,Prentiss-Jefferson Davis County,Prentiss,MS,31.59544583,-89.90619056,0
M44,Houston Municipal,Houston,MS,33.89177944,-89.02367194,0
M46,Colstrip,Colstrip,MT,45.85285,-106.7092722,0
M48,Houston Memorial,Houston,MO,37.33009167,-91.97316944,0
M52,Franklin-Wilkins,Lexington,TN,35.65131944,-88.37893444,0
M53,Humboldt Municipal,Humboldt,TN,35.80218,-88.87494944,0
M54,Lebanon Municipal,Lebanon,TN,36.19041667,-86.31569444,0
M58,Monett Municipal,Monett,MO,36.90621528,-94.01275833,0
M59,Richton-Perry County,Richton,MS,31.31739944,-88.93504778,0
M60,Woodruff County,Augusta,AR,35.27175278,-91.27040417,0
M65,Wynne Municipal,Wynne,AR,35.23160167,-90.76155111,0
M70,Pocahontas Municipal,Pocahontas,AR,36.24551111,-90.95520444,0
M72,New Albany-Union County,New Albany,MS,34.54722222,-89.02416667,0
M73,Almyra Municipal,Almyra,AR,34.41232833,-91.46634722,0
M75,Malta,Malta,MT,48.36694167,-107.91934440000001,0
M76,Picayune Municipal,Picayune,MS,30.48748472,-89.65119306,0
M77,Howard County,Nashville,AR,33.99673833,-93.83813583,0
M78,Malvern Municipal,Malvern,AR,34.33331583,-92.76149944,0
M79,John H Hooks Jr Memorial,Rayville,LA,32.48633611,-91.77087528,0
M82,Madison County Executive,Huntsville,AL,34.85645028,-86.55621472,0
M83,McCharen,West Point,MS,33.58403556,-88.66668694,0
M89,Dexter B. Florence Memorial,Arkadelphia,AR,34.09984639,-93.06611694,0
M91,Springfield-Robertson County,Springfield,TN,36.53726194,-86.92068917,0
M95,Richard Arthur,Fayette,AL,33.71221972,-87.81504639,0
M97,Tunica Municipal,Tunica,MS,34.69232306,-90.35065389,0
M99,Saline County/Watts,Benton,AR,34.55656472,-92.60693972,0
MAC,Herbert Smart Downtown,Macon,GA,32.82213889,-83.56202778,0
MAE,Madera Municipal,Madera,CA,36.9857175,-120.1119844,0
MAF,Midland International,Midland,TX,31.94252778,-102.20191390000001,7
MAI,Marianna Municipal,Marianna,FL,30.83780556,-85.18188889,0
MAL,Malone-Dufort,Malone,NY,44.85365722,-74.32894972,0
MAO,Marion County,Marion,SC,34.18116667,-79.33472222,0
MAW,Malden Municipal,Malden,MO,36.60055694,-89.99220278,0
MAZ,Eugenio Maria De Hostos,Mayaguez,PR,18.25569444,-67.14847222,0
MBG,Mobridge Municipal,Mobridge,SD,45.54650361,-100.40791920000001,0
MBL,Manistee County Blacker,Manistee,MI,44.27319722,-86.2490025,0
MBO,Bruce Campbell,Madison,MS,32.43866444,-90.10309222,0
MBS,Mbs International,Saginaw,MI,43.53291472,-84.07964722,3
